month,trend,seasonal,residual
2012-01-01,,0.8069100798074671,
2012-02-01,,0.8081411152618067,
2012-03-01,,1.0365054827184401,
2012-04-01,,1.2789198502856745,
2012-05-01,,1.401437541116941,
2012-06-01,,1.5084567265365592,
2012-07-01,64.08333333333334,1.3887742852499247,0.595523781811307
2012-08-01,60.041666666666664,1.0719589181597384,0.8234647038688787
2012-09-01,55.916666666666664,0.8286577286830448,1.0574981605948275
2012-10-01,51.0,0.6309232649955746,1.398510706658851
2012-11-01,48.041666666666664,0.8133233957114252,0.8701569359256285
2012-12-01,48.5,0.4259916114734058,1.016427739560502
2013-01-01,51.041666666666664,0.8069100798074671,1.0926033459286897
2013-02-01,52.99999999999999,0.8081411152618067,1.1440183953359198
2013-03-01,53.541666666666664,1.0365054827184401,0.8829428425945586
2013-04-01,53.74999999999999,1.2789198502856745,0.8728295752998882
2013-05-01,54.49999999999999,1.401437541116941,0.7593775336131346
2013-06-01,55.75,1.5084567265365592,0.9156152079043661
2013-07-01,57.416666666666664,1.3887742852499247,1.1537671910503702
2013-08-01,59.458333333333336,1.0719589181597384,0.9570595514376155
2013-09-01,62.125,0.8286577286830448,1.0489436852678788
2013-10-01,65.33333333333334,0.6309232649955746,1.0916945822387967
2013-11-01,67.54166666666666,0.8133233957114252,0.9466039345784554
2013-12-01,70.33333333333333,0.4259916114734058,1.1014167888737871
2014-01-01,73.375,0.8069100798074671,1.2329617541759488
2014-02-01,76.83333333333333,0.8081411152618067,1.1273562123235898
2014-03-01,80.04166666666667,1.0365054827184401,1.1089197043581545
2014-04-01,79.95833333333333,1.2789198502856745,0.9192228096305755
2014-05-01,78.74999999999999,1.401437541116941,0.6976962933349796
2014-06-01,79.16666666666666,1.5084567265365592,1.0467303043199265
2014-07-01,82.08333333333333,1.3887742852499247,1.026358801281654
2014-08-01,84.20833333333333,1.0719589181597384,1.3182984694176378
2014-09-01,85.66666666666666,0.8286577286830448,1.0283378146672046
2014-10-01,89.54166666666667,0.6309232649955746,0.4248244715248478
2014-11-01,93.54166666666666,0.8133233957114252,0.578341434211699
2014-12-01,97.95833333333333,0.4259916114734058,1.222159087951827
2015-01-01,103.75,0.8069100798074671,1.4931270624304382
2015-02-01,107.125,0.8081411152618067,0.7970233651786646
2015-03-01,109.41666666666666,1.0365054827184401,1.1286385652886597
2015-04-01,114.91666666666667,1.2789198502856745,1.0274261117516632
2015-05-01,122.0,1.401437541116941,0.6784602554412431
2015-06-01,125.75,1.5084567265365592,1.0121861233026088
2015-07-01,126.08333333333336,1.3887742852499247,1.0793752506233671
2015-08-01,128.95833333333334,1.0719589181597384,0.9259390843369215
2015-09-01,133.29166666666669,0.8286577286830448,1.077379673818175
2015-10-01,136.41666666666666,0.6309232649955746,1.2780525456088219
2015-11-01,142.75,0.8133233957114252,1.1024796644315782
2015-12-01,145.54166666666663,0.4259916114734058,0.9193618211165215
2016-01-01,143.49999999999997,0.8069100798074671,1.0967980742215506
2016-02-01,144.58333333333331,0.8081411152618067,1.1639477165556162
2016-03-01,146.45833333333331,1.0365054827184401,1.0869216837524969
2016-04-01,146.12499999999997,1.2789198502856745,1.011332471979212
2016-05-01,147.45833333333334,1.401437541116941,1.1129733570372273
2016-06-01,150.41666666666666,1.5084567265365592,0.6390563963216394
2016-07-01,151.62499999999994,1.3887742852499247,0.8880534917410592
2016-08-01,152.54166666666666,1.0719589181597384,0.9540210766772066
2016-09-01,155.49999999999997,0.8286577286830448,1.0554394660984054
2016-10-01,163.375,0.6309232649955746,0.8246255429215158
2016-11-01,183.04166666666666,0.8133233957114252,1.2426776905612953
2016-12-01,212.87499999999997,0.4259916114734058,0.7829474979563436
2017-01-01,239.66666666666666,0.8069100798074671,0.7342696338444428
2017-02-01,260.04166666666663,0.8081411152618067,0.6804651597501136
2017-03-01,273.58333333333326,1.0365054827184401,0.8075589635415835
2017-04-01,283.12499999999994,1.2789198502856745,0.8671776987269384
2017-05-01,295.20833333333326,1.401437541116941,1.3946764039091102
2017-06-01,305.08333333333326,1.5084567265365592,1.1168935429651357
2017-07-01,312.1666666666667,1.3887742852499247,1.063365906608028
2017-08-01,324.7916666666667,1.0719589181597384,1.0655918496376366
2017-09-01,340.25,0.8286577286830448,0.872492671838663
2017-10-01,353.875,0.6309232649955746,0.9137002483349386
2017-11-01,366.4583333333333,0.8133233957114252,1.194433926948871
2017-12-01,382.79166666666663,0.4259916114734058,0.8401504132248683
2018-01-01,401.3333333333333,0.8069100798074671,0.7596345937052663
2018-02-01,411.66666666666663,0.8081411152618067,1.028000203281445
2018-03-01,415.62499999999994,1.0365054827184401,0.9308315741319363
2018-04-01,421.125,1.2789198502856745,0.8708001407476426
2018-05-01,425.125,1.401437541116941,1.2152011567107872
2018-06-01,425.8333333333333,1.5084567265365592,1.1815966903011867
2018-07-01,428.66666666666663,1.3887742852499247,1.110324899530223
2018-08-01,433.2083333333333,1.0719589181597384,0.9022753215046571
2018-09-01,439.2916666666667,0.8286577286830448,0.8048954461221968
2018-10-01,451.625,0.6309232649955746,1.0142460524867511
2018-11-01,459.29166666666674,0.8133233957114252,0.9824585428165321
2018-12-01,455.125,0.4259916114734058,0.7375717908708347
2019-01-01,454.20833333333326,0.8069100798074671,0.8403698792544917
2019-02-01,460.79166666666663,0.8081411152618067,1.0446186671477764
2019-03-01,470.125,1.0365054827184401,1.0260890528228377
2019-04-01,477.91666666666663,1.2789198502856745,1.0896291794872799
2019-05-01,481.41666666666663,1.401437541116941,1.0538401296010516
2019-06-01,488.625,1.5084567265365592,0.9117184293037824
